fecha,pais,id_campaña,canal,gasto
2025-01-01,Mexico,organic_Mexico,organic,2446.25
2025-01-01,Mexico,paid_search_Mexico,paid_search,2704.34
2025-01-01,Mexico,social_Mexico,social,2045.01
2025-01-01,Colombia,organic_Colombia,organic,2597.21
2025-01-01,Colombia,paid_search_Colombia,paid_search,1771.4
2025-01-01,Colombia,social_Colombia,social,833.38
2025-01-01,Argentina,organic_Argentina,organic,1365.62
2025-01-01,Argentina,paid_search_Argentina,paid_search,1282.65
2025-01-01,Argentina,social_Argentina,social,1534.69
2025-01-02,Mexico,organic_Mexico,organic,2537.38
2025-01-02,Mexico,paid_search_Mexico,paid_search,1689.07
2025-01-02,Mexico,social_Mexico,social,2413.74
2025-01-02,Colombia,organic_Colombia,organic,1020.04
2025-01-02,Colombia,paid_search_Colombia,paid_search,1573.18
2025-01-02,Colombia,social_Colombia,social,726.68
2025-01-02,Argentina,organic_Argentina,organic,2295.15
2025-01-02,Argentina,paid_search_Argentina,paid_search,2114.02
2025-01-02,Argentina,social_Argentina,social,1020.97
2025-01-03,Mexico,organic_Mexico,organic,607.52
2025-01-03,Mexico,paid_search_Mexico,paid_search,690.46
2025-01-03,Mexico,social_Mexico,social,2875.31
2025-01-03,Colombia,organic_Colombia,organic,695.69
2025-01-03,Colombia,paid_search_Colombia,paid_search,603.17
2025-01-03,Colombia,social_Colombia,social,1055.99
2025-01-03,Argentina,organic_Argentina,organic,2303.86
2025-01-03,Argentina,paid_search_Argentina,paid_search,682.52
2025-01-03,Argentina,social_Argentina,social,1483.57
2025-01-04,Mexico,organic_Mexico,organic,1451.23
2025-01-04,Mexico,paid_search_Mexico,paid_search,2001.64
2025-01-04,Mexico,social_Mexico,social,1504.53
2025-01-04,Colombia,organic_Colombia,organic,1743.33
2025-01-04,Colombia,paid_search_Colombia,paid_search,2167.46
2025-01-04,Colombia,social_Colombia,social,2524.27
2025-01-04,Argentina,organic_Argentina,organic,1056.76
2025-01-04,Argentina,paid_search_Argentina,paid_search,1025.27
2025-01-04,Argentina,social_Argentina,social,964.01
2025-01-05,Mexico,organic_Mexico,organic,551.18
2025-01-05,Mexico,paid_search_Mexico,paid_search,1023.54
2025-01-05,Mexico,social_Mexico,social,2337.62
2025-01-05,Colombia,organic_Colombia,organic,2082.49
2025-01-05,Colombia,paid_search_Colombia,paid_search,2519.19
2025-01-05,Colombia,social_Colombia,social,1297.61
2025-01-05,Argentina,organic_Argentina,organic,2733.78
2025-01-05,Argentina,paid_search_Argentina,paid_search,727.99
2025-01-05,Argentina,social_Argentina,social,765.51
2025-01-06,Mexico,organic_Mexico,organic,1258.58
2025-01-06,Mexico,paid_search_Mexico,paid_search,2832.68
2025-01-06,Mexico,social_Mexico,social,2255.35
2025-01-06,Colombia,organic_Colombia,organic,1963.21
2025-01-06,Colombia,paid_search_Colombia,paid_search,2722.75
2025-01-06,Colombia,social_Colombia,social,2865.75
